"Title","Canadian Total Exports"
"Industries","NAICS 3345 - Navigational, Measuring, Medical and Control Instruments Manufacturing"
"","NAICS 3346 - Manufacturing and Reproducing Magnetic and Optical Media"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Mali","206397","143063","546021","126110","194315","287085","41507","278973","324368","354082"
"Madagascar","497354","275144","692356","3896586","1362466","1336168","709119","532894","301044","347133"
"Georgia","253796","111418","219241","55806","241285","340294","887472","241939","283094","342354"
"Sint Maarten","","","","","","","","150220","182849","327549"
"Bermuda","615409","842371","268940","229760","215077","400957","928950","429962","273920","319318"
"Papua New Guinea","146140","863945","4549281","498781","1348488","1504228","537905","777698","498064","317489"
"Botswana","729882","432879","101000","470225","78851","243714","346655","347464","736177","294754"
"Kyrgyzstan","759475","376329","234091","98437","321458","288516","419610","64140","307949","286665"
"Cayman Islands","142374","352297","104906","58737","170764","124512","535190","519694","235612","286029"
"Gabon","787550","386192","1823172","1033458","257469","476914","1700187","687270","236126","271664"
"Bahamas","312442","58855","113429","79656","258536","258522","1176646","236252","327255","243011"
"Zimbabwe","9419","29765","80556","31694","827530","40216","201578","467087","99071","229078"
"Brunei Darussalam","69649","76514","421811","96818","188225","630661","553571","509814","108953","223772"
"Estonia","268346","334545","198922","269059","318669","431444","310937","2845506","2872619","212274"
"Cameroon","154824","634534","286789","99097","236351","720268","202168","135585","101008","209992"
"Djibouti","5000","","15650","4679","37147","78956","172621","20487","94425","203724"
"South Sudan","","","","","","","","40734","42275","193978"
"Antartica","","85683","215394","146352","270224","27357","207535","110756","287514","186242"
"Rwanda","40495","7349","3201","164562","118872","73337","","129782","38599","184296"
"Paraguay","200102","826920","212765","144680","159643","155571","133821","363278","211130","183446"
"Zambia (Zambi)","125080","97538","170048","42665","112812","73227","122100","680344","166815","177179"
"Macau (Macao)","115688","325593","114111","38013","70513","135848","203906","260929","341077","176563"
"Christmas Island","","1386","","4693","54692","","","29851","39791","170528"
"Congo (formerly Zaire)","1603040","1356829","177960","284684","229235","41861","105118","1904570","37493","168465"
"Malawi","3259","","17380","","","20905","67264","19514","2767","165767"
"Azerbaijan","4909996","2409912","375825","553019","1939062","1082316","1906963","665884","588778","165249"
"Swaziland","64289","28959","16777","10224","130656","49578","62482","38957","62471","164000"
"Haiti","1349803","145864","29209","262999","487706","95097","85705","1095381","461789","150979"
"Equatorial Guinea","19909","6151212","1534842","271005","5856673","318513","186278","715442","475048","150165"
"Namibia","155677","668175","83196","234920","196426","207266","66753","873942","334405","149681"
"British Virgin Islands","25297","1764441","891700","12220","23396","49251","74785","130048","3878","130444"
"Armenia","67774","52565","328697","106453","57001","138703","154279","79876","140940","129298"
"Uzbekistan","1678150","1556421","557220","169764","110354","1415849","290751","450847","59934","124369"
"Saint Vincent and the Grenadines","94640","115736","56496","799216","10774","7260","79733","7793","2004094","117192"
"Afghanistan","618460","246830","374509","815655","1105456","517530","586362","618595","185501","115768"
"Seychelles","37653","151244","104456","312230","2638670","247797","285939","278655","9089","107568"
"Guam","76556","245734","266497","118602","175969","23351","665660","239594","116930","102910"
"Timor-Leste","","","70622","6240","173881","","","","","101222"
"Cyprus","365124","56597","342269","347793","174949","111761","713298","924756","219873","99179"
"Turks and Caicos Islands","289134","57850","108751","27639","83892","160489","92710","273585","57039","96909"
"Cambodia (Kampuchea)","122693","160669","71458","9000","534916","148659","148126","161526","190616","95319"
"Senegal","58106","225111","548296","245446","81015","303431","1403949","663758","190022","94123"
"Niger","170030","14807","15235","126232","317413","326027","904775","462719","177399","84929"
"Chad","101640","17208","200428","3717","9140","200543","78106","419942","97346","71348"
"Saint Lucia","237410","289594","547972","8698","54490","509554","9044","48650","191874","66259"
"Bosnia-Hercegovina","127204","961154","35627","101304","52771","76979","86737","68952","53339","63866"
"Guinea-Bissau","4346","1872","","","","","","","","57230"
"Grenada","37707","122435","48672","42960","45934","203910","54662","155261","16527","57188"
"New Caledonia","211236","283248","435511","195638","160010","66711","122713","83240","235516","56509"
"Tajikistan","47025","96481","200198","7297","42115","","","334053","24452","55107"
"U.S. Minor Outlying Islands","7309","118017","253833","61624","307569","543174","42570","62039","131439","53407"
"Cape Verde","","","13051","37900","61780","","","3154","77396","48568"
"Somalia","","15150","","19640","","11200","27146","","","47372"
"Saint Pierre-Miquelon","37478","29345","118092","64179","215656","72408","12608","212054","31445","46398"
"Eritrea","164205","17288","11129","158395","68531","455991","194","397238","229289","41473"
"Belize","62886","108168","71920","131732","132026","110479","149487","2028662","20973","36235"
"Liberia","50549","21099","116499","149735","453090","341871","3910116","124230","2280415","27372"
"Yemen","914143","1891422","395739","1103647","1109200","140347","1097487","1948640","216322","27174"
"Bhutan","126108","","373","4625","26675","","28358","94488","16420","26091"
"Guinea","208533","301268","354878","279611","656964","424925","1588248","343891","1726621","24058"
"Mauritania","90506","79936","187574","93652","336172","1215682","2088994","252345","170316","20892"
"Syria","654147","2020971","2017592","1127002","1637781","104949","","","3760","20611"
"Benin","11664","887072","6048","11666","1448460","36448","182020","636552","445323","19232"
"Saint Kitts and Nevis","425856","48797","240373","578","44419","53190","63420","2952484","109885","18944"
"Comoros","","","143745","1340","22308","","2479","32526","5144","14600"
"French Polynesia","149530","53557","50541","202285","67178","116554","40627","30496","26483","13317"
"Montserrat","8607","","28063","","","5728","2930","","5917","12417"
"Vanuatu (New Hebrides)","","8335","22829","7088","38720","6321","59174","3680","87","11969"
"Togo","","20000","3190","121982","5817","80676","1285","17884","11500","9957"
"Sudan","7465086","553011","169457","525947","275902","1085377","1176681","583852","249711","8775"
"Sierra Leone","774755","92776","132500","202003","253289","940556","1242391","97768","980629","8728"
"Montenegro","3870","100075","","13565","","120170","69102","282789","","7677"
"Antigua and Barbuda","152089","284092","820509","289940","314444","163522","139619","133416","8522","5508"
"Saint Helena","","","","","5798","","","697959","1047","3210"
"American Samoa","3845","","778","26204","","16065","105948","31831","144906","3026"
"Bonaire, Sint Eustatius and Saba","","","","","","","","","193615","2800"
"Norfolk Island","36435","","287869","","","","11405","","80","2092"
"Moldova","9925","16002","11766","101412","69963","2026","","","","1844"
"Sao Tomé-Principe","","","","3305","","","","","","1777"
"Solomon Islands","48874","","14106","3902","","87418","15136","","","770"
"Central African Republic","","","","7540","3485","4288","12776","","","767"
"Anguilla","12015","775","44293","26680","15818","2950","","4928","18010","642"
"Gambia","","","","","","9256","","19332","","616"
"Lesotho","","","","","","","2750","","","563"
"Pitcairn Island","","","","","","","","","","507"
"Burundi","52437","224","","10544","","61393","4669","","","490"
"Tonga","","19000","","","","18852","","","7407",""
"Gibraltar","7128","","40973","32192","","","29922","29420","6220",""
"Andorra","","","21992","32433","","","","","4068",""
"Kiribati","","","","6244","45537","","3125","6450","",""
"Netherlands Antilles","2423461","2260922","605383","1283077","883275","730907","540448","","",""
"British Indian Ocean Territories","344","10740","","","","","109904","","",""
"Falkland Islands","14298","","","","53","","60286","","",""
"Cocos (Keeling) Islands","","","","6703","12367","10472","11472","","",""
"Samoa (Western)","3971","","","7909","","","3201","","",""
"Korea, North","350443","12957","67566","106903","25042","3014","","","",""
"Nauru","","","16767","1435","","","","","",""
"High Seas","100","","","","","","","","",""
"Heard and McDonald Island","","","","","","","","","",""
"Sub-Total","4234329135","4465697516","3924798929","3843380716","4138476631","4300522347","4446063462","4837104318","5734111820","5877172189"
"NAICS 3346 - Manufacturing and Reproducing Magnetic and Optical Media"
"United States","316795268","253177108","201802214","188634745","152181626","155011009","121770657","131744718","227276973","192077624"
"China","7010076","8726214","14623199","11873634","10024015","14130333","12993146","15397962","21704627","21044756"
"Mexico","5120745","12452974","19709422","24694127","20750583","8485082","10978717","1121754","1502820","14080980"
"United Kingdom","22670371","13241586","12222582","9031976","14427599","9637906","6398459","7632648","7686062","7660557"
"Japan","10730254","10895030","13355998","15463645","10091126","9473183","7247671","7937114","4712306","5155082"
"Germany","8034306","8541471","5500458","10758235","6580912","10140734","7414717","6010480","6367324","5064166"
"France (incl. Monaco, French Antilles)","7178050","5736089","4754498","5312298","4059486","3565611","2906002","3948096","5628872","4746313"
"Czech Republic","531970","4494642","941667","148164","384687","107014","95336","168477","269265","4043295"
"Korea, South","4258713","7646875","4461444","3811472","5380029","3796854","4434140","4348879","3326686","3498349"
"Switzerland","2372082","1972616","2094476","1652276","1241932","1416139","1846026","3079834","4629054","3055814"
"Singapore","3699511","4864414","6800958","5109817","3061572","2264043","2820461","2631541","3669969","3027340"
"India","9173002","6679087","6026857","5869778","3943147","3438419","2942120","4245466","4522391","2863544"
"Australia","5448702","3869343","5088074","4031404","5133555","6848128","2767355","2733653","3087210","2484591"
"Hong Kong","7036059","4205656","10382858","4425154","3291573","3791373","13405770","11805769","2149365","2431003"
"Italy (incl. Vatican City State)","3384762","2715957","3858056","3044715","2242790","1261439","1030916","1566730","1608545","1932903"
"Hungary","142205","5401837","4973395","10113631","18974273","4024834","1809131","200924","164301","1898665"
"Peru","202849","144134","229182","373952","233589","512679","219215","394226","392407","1887208"
"Netherlands","4885541","5405644","7076134","7257325","2866244","1938668","2391557","2231958","1540143","1596889"
"Israel","690475","959208","716811","780752","895596","464390","354972","469512","1942173","1591739"
"Taiwan","2240731","3106556","969080","4061107","4558247","3603888","3181911","2031858","1293850","1223161"
"Spain","5729736","1218803","895024","741659","1314191","730964","676051","1132903","1243645","1081201"
"Argentina","2537690","1001967","1102474","1023669","593461","12910889","1608909","1146173","2250289","1004987"
"United Arab Emirates","786875","1980915","935533","701775","1412462","2237036","351203","894712","2198279","964984"
"Russia","1599921","1077839","761516","1031224","1147496","738312","871271","828209","961650","846861"
"South Africa","948154","1166539","674410","2780691","1198714","1312805","850327","1041905","977781","811712"
"Turkey","1154683","781327","874746","1468233","401416","2583278","598638","2431227","2038484","788200"
"Sweden","1478702","1018988","950729","1001423","631985","596315","478255","1427766","1977945","713999"
"Thailand","499487","1246467","281121","1375851","836031","1177710","883672","654357","1008903","704441"
"Bahrain","5181","12524","37386","48455","16035","28750","14664","6345","53277","680235"
"Poland","334303","351246","457661","407086","554790","416301","363898","500891","550921","553280"
"Angola","80412","55252","111541","138298","19882","77091","","5320","1","476172"
"Belgium","19253289","13371282","8839418","6033687","2760459","2849094","2758694","1577739","464730","462894"
"Brazil","2134452","4030515","2866277","2579708","2670392","1609741","2406481","1136390","1311608","411398"
"Vietnam","540770","117389","229958","170982","69283","78765","81795","152462","211794","407648"
"Chile","1003335","831956","268127","351081","349935","434957","428261","555209","482822","384147"
"Finland","944752","753608","308246","365392","346462","291193","225908","632050","230470","375905"
"Malaysia","1040256","1294971","871123","1064628","1237968","996725","785938","401096","508712","362052"
"Greece","389989","481200","181261","84382","217875","94744","41480","25427","168716","289254"
"Guatemala","232991","256602","54625","63105","33025","105245","40983","60689","79867","276137"
"Cuba","467505","319570","58903","258423","160630","129235","1070286","232497","259642","256834"
