"Title","Canadian Total Exports"
"Industries","NAICS 3341 - Computer and Peripheral Equipment Manufacturing"
"","NAICS 3342 - Communications Equipment Manufacturing"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Bulgaria","1102371","539053","1002574","415647","335976","680574","1207414","656795","432204","169524"
"Ghana","689785","583969","628718","304228","480981","798209","342326","370877","431287","161257"
"Belize","73934","58826","37540","191423","148045","902055","130952","38100","201467","149652"
"Zambia (Zambi)","267985","120764","109828","373399","257883","77446","94256","232941","139760","147741"
"Saint Kitts and Nevis","332734","69881","616295","243952","155141","136121","30701","170749","86814","133607"
"Guinea","147314","153888","1427933","72272","362540","917361","82901","650269","42645","129695"
"Haiti","798316","169084","816611","380907","128479","151229","429811","672565","66463","128064"
"Bangladesh","17396","164310","925110","153908","57246","40677","131134","28210","698522","121757"
"Guam","90984","17564","55181","124507","30037","148150","335516","94078","93794","111876"
"French Polynesia","1094","137533","12260","121013","283596","61699","12007","2610","29743","110759"
"Dominica","99719","20753","190718","125766","30023","123186","108091","121475","120068","109819"
"British Virgin Islands","72891","119218","95650","62630","103971","28039","51196","68224","44707","105231"
"Grenada","247316","58920","269172","226542","188470","40738","55875","111365","209604","104665"
"Turks and Caicos Islands","73383","224453","103514","128413","81711","197993","57496","377609","102540","97608"
"Uganda","360238","417229","565735","160445","98902","90240","106948","138322","128956","95574"
"Seychelles","","1950","3536","11215","529741","1042324","4765472","2676282","40724","82858"
"Turkmenistan","","9820","125394","216074","64310","48653","48319","74907","116824","81528"
"Macedonia","11250","28718","282378","72678","24344","105320","102514","201985","75532","79878"
"Saint Vincent and the Grenadines","146346","69625","250954","127308","205724","12903","244256","303998","180504","78446"
"Armenia","","1309","148981","459907","156546","368303","1320380","323326","123502","63291"
"Myanmar (Burma)","","","","","","","100890","5362","55773","62630"
"Mozambique","49905","132558","14925","171907","206345","127445","100020","53179","13365","56744"
"Kiribati","","","","","","1807","","","4267","54304"
"Congo (formerly Brazzaville)","365244","446172","275880","231804","742914","274899","183154","458851","10680","52704"
"Papua New Guinea","200783","257253","36072","19678","83595","5136","33048","87636","47416","52301"
"Montenegro","19261","52370","40714","","4706","15942","12262","56820","3414","43763"
"Cameroon","93999","55310","57053","1323087","710372","344224","33988","38641","278372","42832"
"South Sudan","","","","","","","","3619","500","42407"
"Saint Pierre-Miquelon","11740","162124","31038","53667","10071","21656","4084","59944","21808","40463"
"Brunei Darussalam","3160","","10362","38526","80352","95676","122468","83105","54414","40199"
"Equatorial Guinea","14151","","","","662","30519","44803","5407","20495","39182"
"New Caledonia","11974","","27749","20840","1333","51015","640653","438193","209877","38983"
"Central African Republic","","385","577","32028","","7196","","3312","","37509"
"Faeroe Islands","281","99389","8552","1474","","","29392","12041","375","37057"
"Christmas Island","","","","","88598","","45172","","","34805"
"Malawi","296554","170926","111295","44492","29490","17948","20675","48487","66429","30525"
"Comoros","","33704","10103","22374","8213","","58199","","","29734"
"Anguilla","30137","39700","44921","7287","","14999","7662","31980","4364","29491"
"Sierra Leone","52935","","1288","63552","21967","38815","21244","71822","11954","27678"
"Mongolia","7812","52737","28320","10214","82412","1129684","1175157","317358","340515","27382"
"Cape Verde","","","","","","","","10329","11512","27278"
"Andorra","","98907","","","9120","4350","7680","6826","24124","23293"
"Congo (formerly Zaire)","110114","116719","57115","44598","26312","22926","314247","201333","168621","19724"
"Djibouti","135348","5710","","15380","227308","121831","424983","147799","169251","15762"
"Western Sahara","","","","","","","","","","15657"
"Greenland","3162","8397","18998","155136","203265","52030","1000","13650","12348","14536"
"Montserrat","56092","","","5118","","","14663","2024","","12391"
"Gabon","48429","62751","260076","58381","331134","404939","64386","26363","42675","12388"
"Bonaire, Sint Eustatius and Saba","","","","","","","","168","491509","10467"
"Chad","6832","25393","279202","237198","1615","230319","132405","832159","14936","10337"
"Uzbekistan","4494","","68","24684","22418","37868","1591","","29015","9750"
"Maldives","21596","18028","19571","1633","16548","1985","","14482","3529","9249"
"Kyrgyzstan","93176","35054","28545","34425","1185685","10634","367","13055","25637","6637"
"Bhutan","","","","905","","","3132","","4546","4910"
"Libya","819451","585413","2560802","554146","10632","65451","701157","265580","36253","4905"
"Cook Islands","","","","","1996","2990","","","","4373"
"Benin","7083","7251","10427","144925","140588","9970","13769","49682","72403","3340"
"Sudan","61054","81015","47854","99813","10724","87009","322143","4833","8518","3195"
"Gibraltar","42666","27202","38312","1674","","90374","58898","22180","14048","2546"
"U.S. Minor Outlying Islands","70831","120002","20668","105314","16847","2700","2607","139213","104099","1874"
"Antartica","1","","4586","5563","","","104","","1658","1594"
"Liberia","524074","6028","10081","91410","78825","302","122100","8031","7712","1297"
"Afghanistan","655815","284431","631480","1601434","384689","1091686","263274","65831","11264","983"
"Niger","20448","21840","121033","5031","25518","66889","496646","30962","202860",""
"Lesotho","","","7200","","","","","","154490",""
