"Title","Canadian Total Exports"
"Industries","NAICS 3343 - Audio and Video Equipment Manufacturing"
"","NAICS 3344 - Semiconductor and Other Electronic Component Manufacturing"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Ethiopia","2010","","","4948","845820","1215242","50560","75146","5190",""
"Gambia","","","","","","","","1000","4898",""
"Mozambique","3519","52396","33765","","","","","","4600",""
"Guam","7175","2875","22061","8295","","10590","17337","9197","2672",""
"American Samoa","","","","","","","","","1884",""
"Andorra","","4152","","","","","","","1586",""
"Grenada","693","3700","20668","953","","5917","210","","1299",""
"Chad","","","","","230","5475","","25759","1254",""
"Armenia","3793","13918","451","","","586","417","","490",""
"Rwanda","","14462","60905","","","","","1000","122",""
"Myanmar (Burma)","","","","","","","2400","","53",""
"Macedonia","","14311","36567","1994","37840","","","10000","15",""
"Montenegro","","","","","","85","7580","8193","",""
"Sudan","3250","","","920","14689","","","4500","",""
"Dominica","5250","5027","3750","1137","1790","353","105","1901","",""
"Moldova","","8754","","6076","","","","1070","",""
"Seychelles","","","","","","599","917","974","",""
"Benin","1877","","4095","","","","4","430","",""
"Equatorial Guinea","6735","","","","","","13167","","",""
"Syria","1064884","","3850","1542292","46946","17874","9103","","",""
"Netherlands Antilles","39401","2681","4801","40604","39818","13556","3946","","",""
"Somalia","","","","","","3800","3101","","",""
"Yemen","73146","6102","8113","6643","29","3639","822","","",""
"Eritrea","","2895","","500","","","700","","",""
"Uzbekistan","","","","","","15963","","","",""
"Solomon Islands","","","","","","720","","","",""
"Korea, North","95922","79978","3271","1020161","181709","","","","",""
"Turkmenistan","6","30","","732","15928","","","","",""
"Belarus (formerly Byelorussia)","","","","1139","773","","","","",""
"Lesotho","","","","47045","","","","","",""
"Samoa (Western)","","","","3471","","","","","",""
"Tonga","","","","2002","","","","","",""
"Tajikistan","","476","","441","","","","","",""
"French Southern Territories","","","4195","","","","","","",""
"Maldives","4977","31150","331","","","","","","",""
"Comoros","1136","","","","","","","","",""
"Kiribati","552","","","","","","","","",""
"Sub-Total","640971543","688084757","872352758","780424601","778485588","824499026","885836558","732083456","1035144745","886508286"
"NAICS 3344 - Semiconductor and Other Electronic Component Manufacturing"
"United States","2099991648","2404045065","1637602438","1399934091","1478074949","1624716162","1537938610","1786896262","1825940741","1681158355"
"Hong Kong","100409185","66552410","40684922","62852769","66928130","56119974","37098361","79667243","94135965","93404986"
"Mexico","227631784","491441853","713764053","401047662","431654109","225086731","287967306","46660108","44412474","40750549"
"China","81673661","49847857","33189096","46639791","52818312","50775232","37907501","77100063","48243804","38370796"
"Germany","55125384","99029932","33990736","38412274","33365111","25474924","22148078","25403200","36995912","33827710"
"Singapore","59174338","29808329","24154026","10328778","12124240","17334058","20460765","18473789","20236088","30150838"
"Korea, South","35694761","33278526","26523551","17044507","20195138","22476649","36863628","23693798","25370277","29996610"
"United Kingdom","73936529","48689013","36512917","33513383","27163983","27087846","20541471","26639880","35085853","28437607"
"Netherlands","22274888","24322112","30024179","22140254","25578187","21254545","32392543","27504279","22709362","27502292"
"Japan","102905270","68341218","31450514","35938185","35740272","29737005","11175145","17210873","17870861","20498260"
"Thailand","26405243","21104760","11443121","17884659","40360160","23925165","12107476","11316911","12289555","20449731"
"Malaysia","40581570","42637793","35443741","36799110","38168779","33730906","16339833","19141290","15439942","19649912"
"Taiwan","25044819","19738897","15012737","32662736","21306081","49208997","84559036","38168860","15461073","14791995"
"France (incl. Monaco, French Antilles)","15683496","12360657","8579538","10038979","10057802","10969470","7457515","8963915","12597784","9888985"
"Israel","5427661","4283685","3686832","3887492","5439769","6908462","4137819","5800282","7668658","9810699"
"Brazil","6049952","5604311","3502095","6036476","8512338","11715329","3994107","4202384","3795754","7853693"
"Philippines","17364014","11645068","5198082","6407421","5516264","5212959","5205271","5587748","9704295","6863639"
"Indonesia","6086346","3091868","645733","1341638","2681721","4090273","5367506","5699353","6931695","6337581"
"India","11717181","8733096","23657002","14750795","4986053","4298460","8995950","15887099","5837796","6322507"
"Cuba","1673340","1622639","714106","1702484","1811962","2690292","1763134","1224879","1392138","5738894"
"Australia","16538428","15134357","11108501","8098143","7665401","7815941","4962656","4770461","5803713","5673745"
"Saudi Arabia","2295921","3826515","3752967","4299192","2594867","4094562","2913714","3113286","6238347","5231570"
"United Arab Emirates","2118569","1878042","4010582","1484896","1139691","2474143","3796807","3305194","7103989","5222946"
"Czech Republic","1303264","679695","632462","480971","183444","572606","3083294","3478601","4096821","4625130"
"Poland","5666185","7610352","5732249","5349532","3694419","5912082","4298824","3032879","4130464","4419967"
"Turkey","3488743","2548483","1321619","970507","1534521","2657455","2620989","1720098","1018449","4279092"
"Italy (incl. Vatican City State)","11176981","11649690","7971207","10720147","13915348","6319117","6215641","4328026","4329129","4095414"
"South Africa","3435965","2544520","2423117","1496560","1819886","2311304","1382073","1859574","1944209","3601829"
